City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,8.22,79,6,3.74,ZA,1715484974
1,ushuaia,-54.8,-68.3,3.81,56,40,7.72,AR,1715484974
2,anadyr,64.75,177.4833,-0.72,74,100,2.0,RU,1715484975
3,bilibino,68.0546,166.4372,2.99,76,75,1.19,RU,1715484975
4,enewetak,11.3474,162.3373,27.7,81,94,8.14,MH,1715484975
5,dudinka,69.4058,86.1778,-2.96,97,99,2.68,RU,1715484975
6,latakia,35.5148,35.7768,18.1,78,16,5.92,SY,1715484975
7,margaret river,-33.95,115.0667,20.85,54,100,1.82,AU,1715484840
8,tiksi,71.6872,128.8694,-3.83,81,100,2.06,RU,1715484695
9,port-aux-francais,-49.35,70.2167,7.88,97,100,11.36,TF,1715484400
10,adamstown,-25.066,-130.1015,20.55,65,0,4.09,PN,1715484973
11,hithadhoo,-0.6,73.0833,29.06,77,87,4.24,MV,1715484976
12,klyuchi,52.2667,79.1667,16.06,26,0,2.17,RU,1715484976
13,tumaco,1.7986,-78.8156,26.14,89,80,1.32,CO,1715484739
14,sitka,57.0531,-135.33,7.94,66,100,6.69,US,1715484977
15,susuman,62.7833,148.1667,3.32,69,100,5.36,RU,1715484977
16,mossel bay,-34.1831,22.146,9.96,81,4,1.3,ZA,1715484977
17,lebu,-37.6167,-73.65,7.94,84,1,1.31,CL,1715484977
18,rio grande,-32.035,-52.0986,18.06,88,100,8.3,BR,1715484978
19,thompson,55.7435,-97.8558,8.09,66,75,6.17,CA,1715484978
20,qaqortoq,60.7167,-46.0333,-1.13,94,43,1.47,GL,1715484978
21,edinburgh of the seven seas,-37.0676,-12.3116,15.72,90,100,6.49,SH,1715484978
22,merizo village,13.2658,144.6691,31.66,80,87,6.32,GU,1715484978
23,brookings,44.3114,-96.7984,19.0,54,0,3.09,US,1715484979
24,waitangi,-43.9535,-176.5597,11.01,88,98,4.47,NZ,1715484979
25,haiku-pauwela,20.9219,-156.3051,25.09,81,40,6.69,US,1715484979
26,port lincoln,-34.7333,135.8667,18.21,49,0,0.65,AU,1715484979
27,wailua homesteads,22.0669,-159.378,24.24,78,75,7.2,US,1715484980
28,papatowai,-46.5619,169.4708,11.08,85,78,5.15,NZ,1715484980
29,grytviken,-54.2811,-36.5092,0.25,86,65,3.25,GS,1715484980
30,oodweyne,9.4092,45.064,25.48,61,83,2.53,SO,1715484981
31,muroto-misakicho,33.2833,134.15,21.28,81,100,5.96,JP,1715484785
32,albany,42.6001,-73.9662,12.54,66,100,3.34,US,1715484893
